row_index,rank,feature,contribution,observed_value
1540,2,f_563,-0.0001506331529071007,0.7768
1540,3,f_139,-0.00014636513911243107,1258.052
1540,4,f_064,-0.00013402978337248274,14.3618
1540,5,f_305,-0.00012361837909062985,0.3447
1328,1,f_577,-0.013895009046599792,61.8956
1328,2,f_078,-0.013667205897186606,0.1184
1328,3,f_161,-0.004781466436710511,19368.0
1328,4,f_296,-0.0032984898648685387,9299.3585
1328,5,f_573,-0.0011864066133487018,0.6864
242,1,f_132,-0.03749275301395277,2.3971
242,2,f_305,-0.012459597186389542,0.3668
242,3,f_027,-0.007152402592338869,5.1018
242,4,f_025,-0.006638190206242291,0.9755
242,5,f_216,-0.006050362640702089,0.0519
1486,1,f_162,-1.5508414407426842e-06,24315.0
1486,2,f_014,-1.2748850516805242e-06,15.961
1486,3,f_305,-1.0958518536589799e-06,0.3681
1486,4,f_086,-9.574855725517781e-07,2.3551
1486,5,f_059,-8.243299305248835e-07,-4.7682
149,1,f_059,-0.7573723668482275,-21.2055
149,2,f_027,-0.18910581986765201,3.0332
149,3,f_548,-0.13737651269405377,81.408
149,4,f_037,-0.09712100054439542,65.3441
149,5,f_025,-0.07995917711686769,0.907
730,1,f_132,-5.298171218645276e-09,2.3991
730,2,f_563,-2.423436321977148e-09,0.8303
730,3,f_448,-1.797464484263537e-09,0.8572
730,4,f_177,-1.6752697195589758e-09,1.014
730,5,f_312,-1.3287284135483527e-09,0.4148
1411,1,f_059,-0.06209224045658264,-5.4282
1411,2,f_056,-0.045965202617432074,0.9175
1411,3,f_068,-0.045842147037601214,154.2855
1411,4,f_588,-0.03733135371202556,0.012
1411,5,f_542,-0.03229235008134061,0.1153
1175,1,f_058,-4.082675408571719e-06,4.3104
1175,2,f_056,-2.048467489239683e-06,0.9109
1175,3,f_129,-1.7373347943442127e-06,-2.222
1175,4,f_018,-1.2417439483638367e-06,194.9523
1175,5,f_103,-1.1700904316353337e-06,-0.0148
1565,1,f_542,-0.20170298255395924,0.118
1565,2,f_086,-0.17960647078683595,2.36
1565,3,f_064,-0.12647123231754342,15.5318
1565,4,f_169,-0.12469584355264345,0.69
1565,5,f_440,-0.12446599685816324,21.0344
1034,1,f_132,-0.0004444739413480438,2.4023
1034,2,f_129,-0.0003080586932795828,-3.119
1034,3,f_548,-0.00017138833505703753,81.536
1034,4,f_161,-0.00012679235256257533,13718.0
1034,5,f_296,-9.919698825312779e-05,6725.3793
246,1,f_214,-2.2601394349758848e-07,0.5122
246,2,f_352,-2.7740353107553558e-09,0.1248
246,3,f_017,-7.686221690033589e-11,0.9576
246,4,f_305,-6.199369925057952e-11,0.355
246,5,f_563,-5.748814820219315e-11,0.7718
816,1,f_139,-1.8741003221327484e-05,1738.4641
816,2,f_078,-7.120541369832604e-06,0.0322
