feature,importance
f_008,0.002134329278330584
f_306,0.0021001105591517003
f_180,0.002085365471844775
f_154,0.0020726583876443535
f_106,0.0020498376384354097
f_163,0.0019585172187943987
f_033,0.0019518419534518862
f_297,0.0019418248786782176
f_107,0.0019198625524698264
f_250,0.0019100425347243514
f_558,0.0018935177733176403
f_041,0.0018902086551597144
f_184,0.0018867381737822165
f_321,0.0018854314261703843
f_527,0.001869384491207485
f_218,0.0018616309348099909
f_198,0.0018514627061972193
f_002,0.001812389363789791
f_470,0.001811274978387344
f_341,0.0017874706103528308
f_031,0.001774720293353385
f_393,0.0017743955796086922
f_424,0.001766948110104281
f_160,0.0017531885282729143
f_408,0.0017517647033523083
f_334,0.0017386506708643532
f_151,0.001697554321846924
f_582,0.0016566645181515722
f_227,0.0016464295334846326
f_427,0.001641042965365668
f_286,0.0016310947423610331
f_288,0.0016096575476524468
f_153,0.0015936599536405562
f_409,0.0015753190725854378
f_471,0.0015691798471306622
f_425,0.00154934642295984
f_554,0.0015206207008692629
f_543,0.0015169752160479719
f_426,0.001502469402405035
f_015,0.001479712576098519
f_477,0.0014706595526499805
f_525,0.0014633768169154775
f_332,0.0014176066074381851
f_285,0.001414265603530426
f_473,0.0014036163847365468
f_001,0.0013662507097874789
f_522,0.0013595305922048172
f_026,0.0013526887481764133
f_496,0.0013375923246293617
f_083,0.0013308361932749507
f_337,0.001322512766572814
f_217,0.0012962451800294344
f_391,0.0012757552335477364
f_228,0.0012730086582342821
f_150,0.0012518973458518923
f_351,0.0012426382090991717
f_589,0.0012215105085742557
f_457,0.0012152015412732005
f_539,0.0012067638661382015
f_552,0.0011956473549293086
f_497,0.0011612969952716505
f_079,0.0011438743923645079
f_550,0.0011374237307217486
f_431,0.0011341663910761322
f_350,0.001130317688739723
f_137,0.0010769004730036727
f_556,0.0010665844951302126
f_175,0.0010581612126066473
f_476,0.001054354829903399
f_170,0.001047960659648824
f_386,0.0010351695862444482
f_135,0.0010216379108739053
f_212,0.00098254948979401
f_437,0.0009711362670438723
f_119,0.0009707188570191599
f_331,0.0009650238663759672
f_117,0.0009560263146680606
f_253,0.0009435225290282851
f_295,0.0009308684108553753
f_185,0.0009176490483366254
f_318,0.000873439658212522
f_343,0.0008614783270766406
f_489,0.0008535221536915834
f_134,0.0008461807164746644
f_307,0.0008301917278222008
f_224,0.0008237968943471721
f_520,0.0008080691227765848
f_557,0.0008068786507537612
f_418,0.0007966466255308433
f_309,0.0007945180981333824
f_248,0.0007734591269172761
f_323,0.0007504256497781182
f_475,0.000727569208218684
f_155,0.0007274010747975815
f_567,0.0007199687594328979
f_065,0.0007148503020105944
f_040,0.0006950822825108693
f_298,0.0006943097144156801
f_576,0.0006742530866961795
f_446,0.0006722539782571148
f_203,0.0006562607151261706
f_092,0.0006528526756867062
f_412,0.000646872329400576
f_156,0.0006366609937529684
f_131,0.0006040698105855234
f_459,0.0005904846203418524
f_207,0.0005676943723675002
f_428,0.000556153660104763
f_572,0.0005256820428064308
f_196,0.0005203368046654769
f_338,0.0005096043111705504
f_187,0.0005024474144516071
f_429,0.000494657249574584
f_434,0.0004895669022514022
f_267,0.0004871405265901701
f_199,0.00048139779736723636
f_421,0.00047458578723480677
f_081,0.00046528396585734304
f_035,0.0004648856531148561
f_561,0.0004622155182240048
f_007,0.00044801341412872153
f_136,0.0004305861013879049
f_469,0.0004302054147487369
f_544,0.00041947552631259777
f_032,0.0004129597470626021
f_479,0.0004060848340608406
f_269,0.00038920359158422396
f_551,0.0003757406949759912
f_333,0.0003732924155861193
f_108,0.00036635239462476854
f_362,0.0003634566624387337
f_290,0.00035271867629601227
f_202,0.00033154400894239795
f_088,0.0003194358097394989
f_277,0.00031796416077134096
f_225,0.0003125283517688392
f_353,0.0002971418621423555
f_467,0.000276328230507151
f_570,0.0002762320709840106
f_016,0.00027129881496142333
f_283,0.0002606353671609883
f_574,0.0002599021907135508
f_148,0.00025726515937176493
f_447,0.00022686728649294944
f_004,0.00022234691731997218
f_009,0.00020900983192710556
f_275,0.00020253871667360996
f_140,0.000201965436535806
f_057,0.00018450813267129355
f_195,0.00018326240150845496
f_336,0.00017259203112159532
f_130,0.0001555392020640828
f_176,0.00015035172528022846
f_208,0.00014350682284830566
f_494,0.00012531873409860457
f_339,0.00012115060867025452
f_360,0.0001182643845150778
f_147,9.8644281364248e-05
f_251,9.629053623757342e-05
f_335,9.524848937217684e-05
f_389,9.344303916331671e-05
f_282,8.86745813043011e-05
f_523,8.734050295647207e-05
f_410,8.39881251904962e-05
f_420,8.018346522577526e-05
f_320,7.544811527287274e-05
f_583,7.362464016697656e-05
f_222,7.336940446375938e-05
f_197,6.728371572107628e-05
f_105,6.589241270729881e-05
f_541,6.133069666728434e-05
f_584,5.7958578562815125e-05
f_585,4.9370840334653076e-05
f_090,4.0084432303365195e-05
f_442,2.2418700683138326e-05
f_152,1.5365956375283647e-05
f_546,1.3935491022075397e-05
f_019,1.3030698396635426e-05
f_287,1.219227536102338e-05
f_436,9.478406908043907e-06
f_435,9.170281000494092e-06
f_521,7.395715074470011e-06
f_524,6.899780462778146e-06
f_034,6.411289998782463e-06
f_036,6.391669740748161e-06
f_067,4.4605164580155025e-06
f_390,3.1833040107810097e-06
f_252,2.2396812164988943e-06
f_204,1.4471910149160133e-06
f_340,1.025370514271839e-06
f_441,8.819706098278338e-07
f_387,1.0017499017830782e-07
f_249,9.985924060773282e-08
f_114,4.981884343603706e-08
f_342,0.0
f_209,0.0
f_074,0.0
f_206,0.0
f_478,0.0
f_347,0.0
