feature,importance
f_365,0.0007418886297819193
f_174,0.0007353964580971319
f_571,0.0007341321162991914
f_058,0.0007330417686223742
f_155,0.0007330375915338723
f_225,0.0007303624195582203
f_479,0.0007272062921258769
f_434,0.0007257143758235698
f_343,0.0007238471523553766
f_045,0.0007237914537986814
f_405,0.0007215801336050672
f_035,0.0007170216321268023
f_210,0.0007094473982567152
f_558,0.0007015383843307451
f_323,0.0006995277720988216
f_195,0.000697954200066397
f_214,0.0006968787905520273
f_180,0.0006952021266853534
f_063,0.0006951990551194267
f_115,0.0006945911505799488
f_037,0.0006941478131089373
f_304,0.0006906724867609174
f_291,0.0006886731240554566
f_197,0.0006884472714826914
f_061,0.0006829380038445141
f_025,0.0006759855201696024
f_282,0.0006716749603591097
f_454,0.0006700353312810817
f_162,0.0006695092862746821
f_587,0.0006609655542317693
f_429,0.0006589505042678083
f_089,0.0006562728808335679
f_015,0.000655958329611398
f_133,0.0006531874526935123
f_296,0.0006529680650462521
f_036,0.0006515292271078473
f_294,0.0006470472548956923
f_140,0.0006384360807218302
f_562,0.0006381535179408308
f_150,0.0006334629862456937
f_010,0.0006314807222048454
f_433,0.000630951110523402
f_549,0.0006291526521833491
f_279,0.0006291520234548595
f_048,0.000628943100475844
f_410,0.0006283628791410731
f_123,0.0006277161663111564
f_275,0.0006258521634745002
f_390,0.0006248977690820417
f_288,0.0006233128484426077
f_040,0.0006201357768727621
f_007,0.0006145300993945751
f_001,0.0006143427511182641
f_552,0.0006141600454185125
f_290,0.0006140043489985827
f_248,0.0006131628065765616
f_169,0.0006112778275750631
f_143,0.0006111417418620631
f_019,0.0006110083868275654
f_117,0.0006103225363667276
f_583,0.000607675872029952
f_215,0.000607173711673415
f_453,0.0006063842348843201
f_216,0.0006048061876464118
f_285,0.0006047758740886861
f_423,0.0006036903790306241
f_352,0.0006032589312916184
f_070,0.0006030929240110507
f_432,0.0006012159268726358
f_139,0.0006006664464095713
f_473,0.0005952659020174694
f_539,0.0005935241741144447
f_062,0.0005923098236681791
