model,feature,selected_folds,fraction
logistic_full_C01,f_043,15,1.0
logistic_full_C01,f_044,15,1.0
logistic_full_C01,f_045,15,1.0
logistic_full_C01,f_046,15,1.0
logistic_full_C01,f_047,15,1.0
logistic_full_C01,f_048,15,1.0
logistic_full_C01,f_050,15,1.0
logistic_full_C01,f_051,15,1.0
logistic_full_C01,f_053,15,1.0
logistic_full_C01,f_054,15,1.0
logistic_full_C01,f_055,15,1.0
logistic_full_C01,f_056,15,1.0
logistic_full_C01,f_057,15,1.0
logistic_full_C01,f_058,15,1.0
logistic_full_C01,f_059,15,1.0
logistic_full_C01,f_060,15,1.0
logistic_full_C01,f_061,15,1.0
logistic_full_C01,f_062,15,1.0
logistic_full_C01,f_063,15,1.0
logistic_full_C01,f_064,15,1.0
logistic_full_C01,f_065,15,1.0
logistic_full_C01,f_066,15,1.0
logistic_full_C01,f_067,15,1.0
logistic_full_C01,f_068,15,1.0
logistic_full_C01,f_070,15,1.0
logistic_full_C01,f_071,15,1.0
logistic_full_C01,f_074,12,0.8
logistic_full_C01,f_075,15,1.0
logistic_full_C01,f_076,15,1.0
logistic_full_C01,f_077,15,1.0
logistic_full_C01,f_078,15,1.0
logistic_full_C01,f_079,15,1.0
logistic_full_C01,f_080,15,1.0
logistic_full_C01,f_081,15,1.0
logistic_full_C01,f_082,15,1.0
logistic_full_C01,f_083,15,1.0
logistic_full_C01,f_084,15,1.0
logistic_full_C01,f_086,15,1.0
logistic_full_C01,f_087,15,1.0
logistic_full_C01,f_088,15,1.0
logistic_full_C01,f_089,15,1.0
logistic_full_C01,f_090,15,1.0
logistic_full_C01,f_091,15,1.0
logistic_full_C01,f_092,15,1.0
logistic_full_C01,f_093,15,1.0
logistic_full_C01,f_094,15,1.0
logistic_full_C01,f_095,15,1.0
logistic_full_C01,f_096,15,1.0
logistic_full_C01,f_098,15,1.0
logistic_full_C01,f_099,15,1.0
logistic_full_C01,f_100,15,1.0
logistic_full_C01,f_101,15,1.0
logistic_full_C01,f_102,15,1.0
logistic_full_C01,f_103,15,1.0
logistic_full_C01,f_104,15,1.0
logistic_full_C01,f_105,15,1.0
logistic_full_C01,f_106,15,1.0
logistic_full_C01,f_107,15,1.0
logistic_full_C01,f_108,15,1.0
logistic_full_C01,f_113,15,1.0
logistic_full_C01,f_114,15,1.0
logistic_full_C01,f_115,15,1.0
logistic_full_C01,f_116,15,1.0
logistic_full_C01,f_117,15,1.0
logistic_full_C01,f_118,15,1.0
logistic_full_C01,f_119,15,1.0
logistic_full_C01,f_120,15,1.0
logistic_full_C01,f_121,15,1.0
logistic_full_C01,f_122,15,1.0
logistic_full_C01,f_123,15,1.0
logistic_full_C01,f_124,15,1.0
logistic_full_C01,f_125,15,1.0
logistic_full_C01,f_126,15,1.0
logistic_full_C01,f_127,15,1.0
logistic_full_C01,f_128,15,1.0
logistic_full_C01,f_129,15,1.0
logistic_full_C01,f_130,15,1.0
logistic_full_C01,f_131,15,1.0
logistic_full_C01,f_132,15,1.0
logistic_full_C01,f_133,15,1.0
logistic_full_C01,f_134,15,1.0
logistic_full_C01,f_135,15,1.0
logistic_full_C01,f_136,15,1.0
logistic_full_C01,f_137,15,1.0
logistic_full_C01,f_138,15,1.0
logistic_full_C01,f_139,15,1.0
logistic_full_C01,f_140,15,1.0
logistic_full_C01,f_142,15,1.0
logistic_full_C01,f_143,15,1.0
logistic_full_C01,f_144,15,1.0
logistic_full_C01,f_145,15,1.0
logistic_full_C01,f_146,15,1.0
logistic_full_C01,f_147,15,1.0
logistic_full_C01,f_148,15,1.0
logistic_full_C01,f_150,15,1.0
logistic_full_C01,f_151,15,1.0
logistic_full_C01,f_152,15,1.0
logistic_full_C01,f_153,15,1.0
logistic_full_C01,f_154,15,1.0
logistic_full_C01,f_155,15,1.0
logistic_full_C01,f_156,15,1.0
logistic_full_C01,f_159,15,1.0
logistic_full_C01,f_160,15,1.0
logistic_full_C01,f_161,15,1.0
logistic_full_C01,f_162,15,1.0
logistic_full_C01,f_163,15,1.0
logistic_full_C01,f_164,15,1.0
logistic_full_C01,f_165,15,1.0
logistic_full_C01,f_166,15,1.0
